LISTA,LBL_TIPO_METRICA,ABS_RANK,TIPO_METRICA,LOCALE,NAZIONALE,FLG_NOT_VALID,COMUNE,ANNO
PSDI,Percentuale (su voti validi),6,PERC_VAL,6.56,4.55,0,MAGNAGO,1958
PSDI,Percentuale (su aventi diritto),6,PERC_ASS,6.12,4.15,0,MAGNAGO,1958
MSI,Percentuale (su voti validi),9,PERC_VAL,1.9,4.76,0,MAGNAGO,1958
MSI,Percentuale (su aventi diritto),9,PERC_ASS,1.77,4.34,0,MAGNAGO,1958
DC,Voti ottenuti,3,VOTI_OTTENUTI,2288.0,10862073.0,0,MAGNAGO,1953
PSI,Voti ottenuti,4,VOTI_OTTENUTI,1131.0,3441014.0,0,MAGNAGO,1953
PCI,Voti ottenuti,5,VOTI_OTTENUTI,495.0,6120809.0,0,MAGNAGO,1953
PSDI,Voti ottenuti,7,VOTI_OTTENUTI,155.0,1222957.0,0,MAGNAGO,1953
MSI,Voti ottenuti,9,VOTI_OTTENUTI,79.0,1582154.0,0,MAGNAGO,1953
DC,Percentuale (su voti validi),3,PERC_VAL,52.38,40.1,0,MAGNAGO,1953
DC,Percentuale (su aventi diritto),3,PERC_ASS,48.21,35.88,0,MAGNAGO,1953
PSI,Percentuale (su voti validi),4,PERC_VAL,25.89,12.7,0,MAGNAGO,1953
PSI,Percentuale (su aventi diritto),4,PERC_ASS,23.83,11.37,0,MAGNAGO,1953
PCI,Percentuale (su voti validi),5,PERC_VAL,11.33,22.6,0,MAGNAGO,1953
PCI,Percentuale (su aventi diritto),5,PERC_ASS,10.43,20.22,0,MAGNAGO,1953
PSDI,Percentuale (su voti validi),7,PERC_VAL,3.55,4.51,0,MAGNAGO,1953
PSDI,Percentuale (su aventi diritto),7,PERC_ASS,3.27,4.04,0,MAGNAGO,1953
MSI,Percentuale (su voti validi),9,PERC_VAL,1.81,5.84,0,MAGNAGO,1953
MSI,Percentuale (su aventi diritto),9,PERC_ASS,1.66,5.23,0,MAGNAGO,1953
DC,Voti ottenuti,3,VOTI_OTTENUTI,2481.0,12740042.0,0,MAGNAGO,1948
FR.DEMOCR.POPOLARE,Voti ottenuti,4,VOTI_OTTENUTI,1194.0,8136637.0,0,MAGNAGO,1948
UNITA' SOCIALISTA,Voti ottenuti,5,VOTI_OTTENUTI,303.0,1858116.0,0,MAGNAGO,1948
DC,Percentuale (su voti validi),3,PERC_VAL,60.39,48.51,0,MAGNAGO,1948
DC,Percentuale (su aventi diritto),3,PERC_ASS,56.63,43.75,0,MAGNAGO,1948
PC.INTERNAZIONALISTA,Voti ottenuti,9,VOTI_OTTENUTI,54.0,20736.0,0,MAGNAGO,1948
FR.DEMOCR.POPOLARE,Percentuale (su voti validi),4,PERC_VAL,29.07,30.98,0,MAGNAGO,1948
FR.DEMOCR.POPOLARE,Percentuale (su aventi diritto),4,PERC_ASS,27.25,27.94,0,MAGNAGO,1948
P.CONTADINI D'ITALIA,Voti ottenuti,10,VOTI_OTTENUTI,19.0,95914.0,0,MAGNAGO,1948
UNITA' SOCIALISTA,Percentuale (su voti validi),5,PERC_VAL,7.38,7.07,0,MAGNAGO,1948
UNITA' SOCIALISTA,Percentuale (su aventi diritto),5,PERC_ASS,6.92,6.38,0,MAGNAGO,1948
PC.INTERNAZIONALISTA,Percentuale (su voti validi),9,PERC_VAL,1.31,0.08,0,MAGNAGO,1948
PC.INTERNAZIONALISTA,Percentuale (su aventi diritto),9,PERC_ASS,1.23,0.07,0,MAGNAGO,1948
P.CONTADINI D'ITALIA,Percentuale (su voti validi),10,PERC_VAL,0.46,0.37,0,MAGNAGO,1948
P.CONTADINI D'ITALIA,Percentuale (su aventi diritto),10,PERC_ASS,0.43,0.33,0,MAGNAGO,1948
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4381.0,29117554.0,1,MAGNAGO,1948
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,MAGNAGO,1948
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,MAGNAGO,1948
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,4240.0,26855741.0,1,MAGNAGO,1948
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,MAGNAGO,1948
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,96.78,92.23,1,MAGNAGO,1948
ASTENUTI,Percentuale (su voti validi),6,PERC_VAL,,,1,MAGNAGO,1948
ASTENUTI,Percentuale (su aventi diritto),6,PERC_ASS,3.22,7.77,1,MAGNAGO,1948
ASTENUTI,Voti ottenuti,6,VOTI_OTTENUTI,141.0,2261813.0,1,MAGNAGO,1948
NULLE,Percentuale (su aventi diritto),7,PERC_ASS,1.73,1.47,1,MAGNAGO,1948
NULLE,Voti ottenuti,7,VOTI_OTTENUTI,76.0,426891.0,1,MAGNAGO,1948
NULLE,Percentuale (su voti validi),7,PERC_VAL,,,1,MAGNAGO,1948
BIANCHE,Percentuale (su aventi diritto),8,PERC_ASS,1.28,0.56,1,MAGNAGO,1948
BIANCHE,Voti ottenuti,8,VOTI_OTTENUTI,56.0,164392.0,1,MAGNAGO,1948
BIANCHE,Percentuale (su voti validi),8,PERC_VAL,,,1,MAGNAGO,1948
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4746.0,30272236.0,1,MAGNAGO,1953
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,MAGNAGO,1953
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,MAGNAGO,1953
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,4624.0,28406479.0,1,MAGNAGO,1953
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,MAGNAGO,1953
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,97.43,93.84,1,MAGNAGO,1953
NULLE,Percentuale (su voti validi),6,PERC_VAL,,,1,MAGNAGO,1953
NULLE,Percentuale (su aventi diritto),6,PERC_ASS,5.39,2.93,1,MAGNAGO,1953
NULLE,Voti ottenuti,6,VOTI_OTTENUTI,256.0,887890.0,1,MAGNAGO,1953
ASTENUTI,Percentuale (su aventi diritto),8,PERC_ASS,2.57,6.16,1,MAGNAGO,1953
ASTENUTI,Voti ottenuti,8,VOTI_OTTENUTI,122.0,1865757.0,1,MAGNAGO,1953
ASTENUTI,Percentuale (su voti validi),8,PERC_VAL,,,1,MAGNAGO,1953
BIANCHE,Voti ottenuti,19,VOTI_OTTENUTI,0.0,430888.0,1,MAGNAGO,1953
BIANCHE,Percentuale (su voti validi),19,PERC_VAL,,,1,MAGNAGO,1953
BIANCHE,Percentuale (su aventi diritto),19,PERC_ASS,0.0,1.42,1,MAGNAGO,1953
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,5308.0,32434852.0,1,MAGNAGO,1958
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,MAGNAGO,1958
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,MAGNAGO,1958
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,5147.0,30434681.0,1,MAGNAGO,1958
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,MAGNAGO,1958
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,96.97,93.83,1,MAGNAGO,1958
ASTENUTI,Percentuale (su aventi diritto),7,PERC_ASS,3.03,6.17,1,MAGNAGO,1958
ASTENUTI,Voti ottenuti,7,VOTI_OTTENUTI,161.0,2000171.0,1,MAGNAGO,1958
ASTENUTI,Percentuale (su voti validi),7,PERC_VAL,,,1,MAGNAGO,1958
BIANCHE,Percentuale (su aventi diritto),8,PERC_ASS,2.6,1.46,1,MAGNAGO,1958
BIANCHE,Percentuale (su voti validi),8,PERC_VAL,,,1,MAGNAGO,1958
BIANCHE,Voti ottenuti,8,VOTI_OTTENUTI,138.0,473682.0,1,MAGNAGO,1958
NULLE,Percentuale (su aventi diritto),12,PERC_ASS,1.02,1.24,1,MAGNAGO,1958
NULLE,Percentuale (su voti validi),12,PERC_VAL,,,1,MAGNAGO,1958
NULLE,Voti ottenuti,12,VOTI_OTTENUTI,54.0,400730.0,1,MAGNAGO,1958
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,6102.0,34199184.0,1,MAGNAGO,1963
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,MAGNAGO,1963
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,MAGNAGO,1963
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,5919.0,31766009.0,1,MAGNAGO,1963
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,MAGNAGO,1963
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,97.0,92.89,1,MAGNAGO,1963
ASTENUTI,Percentuale (su aventi diritto),7,PERC_ASS,3.0,7.11,1,MAGNAGO,1963
ASTENUTI,Voti ottenuti,7,VOTI_OTTENUTI,183.0,2433175.0,1,MAGNAGO,1963
ASTENUTI,Percentuale (su voti validi),7,PERC_VAL,,,1,MAGNAGO,1963
BIANCHE,Percentuale (su aventi diritto),9,PERC_ASS,2.75,1.67,1,MAGNAGO,1963
BIANCHE,Percentuale (su voti validi),9,PERC_VAL,,,1,MAGNAGO,1963
BIANCHE,Voti ottenuti,9,VOTI_OTTENUTI,168.0,571961.0,1,MAGNAGO,1963
NULLE,Percentuale (su voti validi),11,PERC_VAL,,,1,MAGNAGO,1963
NULLE,Percentuale (su aventi diritto),11,PERC_ASS,0.88,1.29,1,MAGNAGO,1963
NULLE,Voti ottenuti,11,VOTI_OTTENUTI,54.0,441177.0,1,MAGNAGO,1963
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,6545.0,35566493.0,1,MAGNAGO,1968
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,MAGNAGO,1968
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,MAGNAGO,1968
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,6308.0,33001644.0,1,MAGNAGO,1968
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,MAGNAGO,1968
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,96.38,92.79,1,MAGNAGO,1968
ASTENUTI,Percentuale (su aventi diritto),7,PERC_ASS,3.62,7.21,1,MAGNAGO,1968
ASTENUTI,Voti ottenuti,7,VOTI_OTTENUTI,237.0,2564849.0,1,MAGNAGO,1968
ASTENUTI,Percentuale (su voti validi),7,PERC_VAL,,,1,MAGNAGO,1968
BIANCHE,Percentuale (su aventi diritto),8,PERC_ASS,3.53,1.8,1,MAGNAGO,1968
BIANCHE,Voti ottenuti,8,VOTI_OTTENUTI,231.0,640202.0,1,MAGNAGO,1968
BIANCHE,Percentuale (su voti validi),8,PERC_VAL,,,1,MAGNAGO,1968
NULLE,Percentuale (su voti validi),11,PERC_VAL,,,1,MAGNAGO,1968
NULLE,Percentuale (su aventi diritto),11,PERC_ASS,1.08,1.61,1,MAGNAGO,1968
NULLE,Voti ottenuti,11,VOTI_OTTENUTI,71.0,571014.0,1,MAGNAGO,1968
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,2776.0,37049351.0,1,VANZAGHELLO,1972
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,1972
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,1972
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,2681.0,34525687.0,1,VANZAGHELLO,1972
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,1972
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,96.58,93.19,1,VANZAGHELLO,1972
ASTENUTI,Percentuale (su aventi diritto),6,PERC_ASS,3.42,6.81,1,VANZAGHELLO,1972
ASTENUTI,Voti ottenuti,6,VOTI_OTTENUTI,95.0,2523664.0,1,VANZAGHELLO,1972
ASTENUTI,Percentuale (su voti validi),6,PERC_VAL,,,1,VANZAGHELLO,1972
BIANCHE,Percentuale (su aventi diritto),7,PERC_ASS,3.06,1.62,1,VANZAGHELLO,1972
BIANCHE,Voti ottenuti,7,VOTI_OTTENUTI,85.0,600153.0,1,VANZAGHELLO,1972
BIANCHE,Percentuale (su voti validi),7,PERC_VAL,,,1,VANZAGHELLO,1972
NULLE,Percentuale (su voti validi),14,PERC_VAL,,,1,VANZAGHELLO,1972
NULLE,Percentuale (su aventi diritto),14,PERC_ASS,0.83,1.41,1,VANZAGHELLO,1972
NULLE,Voti ottenuti,14,VOTI_OTTENUTI,23.0,521986.0,1,VANZAGHELLO,1972
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,3122.0,40426658.0,1,VANZAGHELLO,1976
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,1976
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,1976
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,2985.0,37755090.0,1,VANZAGHELLO,1976
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,1976
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,95.61,93.39,1,VANZAGHELLO,1976
ASTENUTI,Percentuale (su aventi diritto),6,PERC_ASS,4.39,6.61,1,VANZAGHELLO,1976
ASTENUTI,Voti ottenuti,6,VOTI_OTTENUTI,137.0,2671568.0,1,VANZAGHELLO,1976
ASTENUTI,Percentuale (su voti validi),6,PERC_VAL,,,1,VANZAGHELLO,1976
BIANCHE,Percentuale (su aventi diritto),8,PERC_ASS,2.72,1.48,1,VANZAGHELLO,1976
BIANCHE,Percentuale (su voti validi),8,PERC_VAL,,,1,VANZAGHELLO,1976
BIANCHE,Voti ottenuti,8,VOTI_OTTENUTI,85.0,596541.0,1,VANZAGHELLO,1976
NULLE,Voti ottenuti,13,VOTI_OTTENUTI,28.0,450971.0,1,VANZAGHELLO,1976
NULLE,Percentuale (su voti validi),13,PERC_VAL,,,1,VANZAGHELLO,1976
NULLE,Percentuale (su aventi diritto),13,PERC_ASS,0.9,1.12,1,VANZAGHELLO,1976
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,3192.0,42203354.0,1,VANZAGHELLO,1979
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,1979
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,1979
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3036.0,38242918.0,1,VANZAGHELLO,1979
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,1979
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,95.11,90.62,1,VANZAGHELLO,1979
ASTENUTI,Percentuale (su aventi diritto),6,PERC_ASS,4.89,9.38,1,VANZAGHELLO,1979
ASTENUTI,Voti ottenuti,6,VOTI_OTTENUTI,156.0,3960436.0,1,VANZAGHELLO,1979
ASTENUTI,Percentuale (su voti validi),6,PERC_VAL,,,1,VANZAGHELLO,1979
BIANCHE,Percentuale (su aventi diritto),8,PERC_ASS,3.67,1.98,1,VANZAGHELLO,1979
BIANCHE,Percentuale (su voti validi),8,PERC_VAL,,,1,VANZAGHELLO,1979
BIANCHE,Voti ottenuti,8,VOTI_OTTENUTI,117.0,836669.0,1,VANZAGHELLO,1979
NULLE,Voti ottenuti,14,VOTI_OTTENUTI,37.0,734941.0,1,VANZAGHELLO,1979
NULLE,Percentuale (su voti validi),14,PERC_VAL,,,1,VANZAGHELLO,1979
NULLE,Percentuale (su aventi diritto),14,PERC_ASS,1.16,1.74,1,VANZAGHELLO,1979
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,3345.0,44526357.0,1,VANZAGHELLO,1983
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,1983
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,1983
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3150.0,39188182.0,1,VANZAGHELLO,1983
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,1983
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,94.17,88.01,1,VANZAGHELLO,1983
ASTENUTI,Percentuale (su aventi diritto),6,PERC_ASS,5.83,11.99,1,VANZAGHELLO,1983
ASTENUTI,Voti ottenuti,6,VOTI_OTTENUTI,195.0,5338175.0,1,VANZAGHELLO,1983
ASTENUTI,Percentuale (su voti validi),6,PERC_VAL,,,1,VANZAGHELLO,1983
NULLE,Percentuale (su aventi diritto),9,PERC_ASS,3.92,3.01,1,VANZAGHELLO,1983
NULLE,Percentuale (su voti validi),9,PERC_VAL,,,1,VANZAGHELLO,1983
NULLE,Voti ottenuti,9,VOTI_OTTENUTI,131.0,1339795.0,1,VANZAGHELLO,1983
BIANCHE,Percentuale (su voti validi),11,PERC_VAL,,,1,VANZAGHELLO,1983
BIANCHE,Voti ottenuti,11,VOTI_OTTENUTI,102.0,942382.0,1,VANZAGHELLO,1983
BIANCHE,Percentuale (su aventi diritto),11,PERC_ASS,3.05,2.12,1,VANZAGHELLO,1983
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,3580.0,45692417.0,1,VANZAGHELLO,1987
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,1987
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,1987
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3358.0,40586573.0,1,VANZAGHELLO,1987
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,1987
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,93.8,88.83,1,VANZAGHELLO,1987
ASTENUTI,Percentuale (su aventi diritto),7,PERC_ASS,6.2,11.17,1,VANZAGHELLO,1987
ASTENUTI,Voti ottenuti,7,VOTI_OTTENUTI,222.0,5105844.0,1,VANZAGHELLO,1987
ASTENUTI,Percentuale (su voti validi),7,PERC_VAL,,,1,VANZAGHELLO,1987
BIANCHE,Percentuale (su aventi diritto),11,PERC_ASS,2.21,1.69,1,VANZAGHELLO,1987
BIANCHE,Percentuale (su voti validi),11,PERC_VAL,,,1,VANZAGHELLO,1987
BIANCHE,Voti ottenuti,11,VOTI_OTTENUTI,79.0,773475.0,1,VANZAGHELLO,1987
NULLE,Percentuale (su voti validi),12,PERC_VAL,,,1,VANZAGHELLO,1987
NULLE,Percentuale (su aventi diritto),12,PERC_ASS,2.21,2.72,1,VANZAGHELLO,1987
NULLE,Voti ottenuti,12,VOTI_OTTENUTI,79.0,1241590.0,1,VANZAGHELLO,1987
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,3806.0,47486964.0,1,VANZAGHELLO,1992
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,1992
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,1992
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3516.0,41479764.0,1,VANZAGHELLO,1992
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,92.38,87.35,1,VANZAGHELLO,1992
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,1992
ASTENUTI,Percentuale (su voti validi),7,PERC_VAL,,,1,VANZAGHELLO,1992
ASTENUTI,Voti ottenuti,7,VOTI_OTTENUTI,290.0,6007200.0,1,VANZAGHELLO,1992
ASTENUTI,Percentuale (su aventi diritto),7,PERC_ASS,7.62,12.65,1,VANZAGHELLO,1992
NULLE,Percentuale (su voti validi),11,PERC_VAL,,,1,VANZAGHELLO,1992
NULLE,Voti ottenuti,11,VOTI_OTTENUTI,64.0,1360464.0,1,VANZAGHELLO,1992
NULLE,Percentuale (su aventi diritto),11,PERC_ASS,1.68,2.86,1,VANZAGHELLO,1992
BIANCHE,Voti ottenuti,12,VOTI_OTTENUTI,59.0,872025.0,1,VANZAGHELLO,1992
BIANCHE,Percentuale (su aventi diritto),12,PERC_ASS,1.55,1.84,1,VANZAGHELLO,1992
BIANCHE,Percentuale (su voti validi),12,PERC_VAL,,,1,VANZAGHELLO,1992
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,3851.0,48135041.0,1,VANZAGHELLO,1994
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,1994
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,1994
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3572.0,41546290.0,1,VANZAGHELLO,1994
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,1994
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,92.76,86.31,1,VANZAGHELLO,1994
ASTENUTI,Percentuale (su aventi diritto),7,PERC_ASS,7.24,13.69,1,VANZAGHELLO,1994
ASTENUTI,Voti ottenuti,7,VOTI_OTTENUTI,279.0,6588751.0,1,VANZAGHELLO,1994
ASTENUTI,Percentuale (su voti validi),7,PERC_VAL,,,1,VANZAGHELLO,1994
BIANCHE,Percentuale (su voti validi),14,PERC_VAL,,,1,VANZAGHELLO,1994
BIANCHE,Percentuale (su aventi diritto),14,PERC_ASS,1.74,2.95,1,VANZAGHELLO,1994
BIANCHE,Voti ottenuti,14,VOTI_OTTENUTI,67.0,1421900.0,1,VANZAGHELLO,1994
NULLE,Voti ottenuti,16,VOTI_OTTENUTI,54.0,1403497.0,1,VANZAGHELLO,1994
NULLE,Percentuale (su voti validi),16,PERC_VAL,,,1,VANZAGHELLO,1994
NULLE,Percentuale (su aventi diritto),16,PERC_ASS,1.4,2.92,1,VANZAGHELLO,1994
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,3897.0,48744846.0,1,VANZAGHELLO,1996
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,1996
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,1996
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3525.0,40401774.0,1,VANZAGHELLO,1996
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,1996
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,90.45,82.88,1,VANZAGHELLO,1996
ASTENUTI,Percentuale (su voti validi),5,PERC_VAL,,,1,VANZAGHELLO,1996
ASTENUTI,Percentuale (su aventi diritto),5,PERC_ASS,9.55,17.12,1,VANZAGHELLO,1996
ASTENUTI,Voti ottenuti,5,VOTI_OTTENUTI,372.0,8343072.0,1,VANZAGHELLO,1996
NULLE,Percentuale (su voti validi),11,PERC_VAL,,,1,VANZAGHELLO,1996
NULLE,Percentuale (su aventi diritto),11,PERC_ASS,2.8,3.44,1,VANZAGHELLO,1996
NULLE,Voti ottenuti,11,VOTI_OTTENUTI,109.0,1675878.0,1,VANZAGHELLO,1996
BIANCHE,Voti ottenuti,15,VOTI_OTTENUTI,54.0,1241498.0,1,VANZAGHELLO,1996
BIANCHE,Percentuale (su voti validi),15,PERC_VAL,,,1,VANZAGHELLO,1996
BIANCHE,Percentuale (su aventi diritto),15,PERC_ASS,1.39,2.55,1,VANZAGHELLO,1996
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4070.0,49256295.0,1,VANZAGHELLO,2001
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,2001
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,2001
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3567.0,40085397.0,1,VANZAGHELLO,2001
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,2001
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,87.64,81.38,1,VANZAGHELLO,2001
ASTENUTI,Percentuale (su voti validi),6,PERC_VAL,,,1,VANZAGHELLO,2001
ASTENUTI,Percentuale (su aventi diritto),6,PERC_ASS,12.36,18.62,1,VANZAGHELLO,2001
ASTENUTI,Voti ottenuti,6,VOTI_OTTENUTI,503.0,9170898.0,1,VANZAGHELLO,2001
NULLE,Percentuale (su voti validi),11,PERC_VAL,,,1,VANZAGHELLO,2001
NULLE,Percentuale (su aventi diritto),11,PERC_ASS,2.6,2.59,1,VANZAGHELLO,2001
NULLE,Voti ottenuti,11,VOTI_OTTENUTI,106.0,1274012.0,1,VANZAGHELLO,2001
BIANCHE,Percentuale (su voti validi),12,PERC_VAL,,,1,VANZAGHELLO,2001
BIANCHE,Percentuale (su aventi diritto),12,PERC_ASS,2.58,3.43,1,VANZAGHELLO,2001
BIANCHE,Voti ottenuti,12,VOTI_OTTENUTI,105.0,1688609.0,1,VANZAGHELLO,2001
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4164.0,46997601.0,1,VANZAGHELLO,2006
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,2006
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,2006
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3694.0,39298497.0,1,VANZAGHELLO,2006
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,88.71,83.62,1,VANZAGHELLO,2006
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,2006
ASTENUTI,Percentuale (su voti validi),6,PERC_VAL,,,1,VANZAGHELLO,2006
ASTENUTI,Voti ottenuti,6,VOTI_OTTENUTI,470.0,7699104.0,1,VANZAGHELLO,2006
ASTENUTI,Percentuale (su aventi diritto),6,PERC_ASS,11.29,16.38,1,VANZAGHELLO,2006
NULLE,Voti ottenuti,12,VOTI_OTTENUTI,68.0,705868.0,1,VANZAGHELLO,2006
NULLE,Percentuale (su aventi diritto),12,PERC_ASS,1.63,1.5,1,VANZAGHELLO,2006
NULLE,Percentuale (su voti validi),12,PERC_VAL,,,1,VANZAGHELLO,2006
BIANCHE,Voti ottenuti,16,VOTI_OTTENUTI,40.0,439286.0,1,VANZAGHELLO,2006
BIANCHE,Percentuale (su aventi diritto),16,PERC_ASS,0.96,0.93,1,VANZAGHELLO,2006
BIANCHE,Percentuale (su voti validi),16,PERC_VAL,,,1,VANZAGHELLO,2006
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4197.0,47041814.0,1,VANZAGHELLO,2008
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,2008
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,2008
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3604.0,37874569.0,1,VANZAGHELLO,2008
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,85.87,80.51,1,VANZAGHELLO,2008
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,2008
ASTENUTI,Percentuale (su voti validi),6,PERC_VAL,,,1,VANZAGHELLO,2008
ASTENUTI,Voti ottenuti,6,VOTI_OTTENUTI,593.0,9167245.0,1,VANZAGHELLO,2008
ASTENUTI,Percentuale (su aventi diritto),6,PERC_ASS,14.13,19.49,1,VANZAGHELLO,2008
NULLE,Percentuale (su aventi diritto),11,PERC_ASS,1.24,1.98,1,VANZAGHELLO,2008
NULLE,Percentuale (su voti validi),11,PERC_VAL,,,1,VANZAGHELLO,2008
